src,rel,dst
0,has_attribute,168
0,has_attribute,175
0,has_attribute,176
0,is_a,104
1,has_attribute,172
1,has_attribute,152
1,has_attribute,153
1,has_attribute,169
1,has_attribute,140
1,is_a,101
2,has_attribute,168
2,has_attribute,170
2,is_a,114
3,has_attribute,139
3,has_attribute,149
3,has_attribute,166
3,has_attribute,167
3,has_attribute,169
3,has_attribute,170
3,is_a,108
4,has_attribute,139
4,has_attribute,140
4,has_attribute,146
4,has_attribute,172
4,has_attribute,169
4,is_a,100
5,has_attribute,179
5,has_attribute,178
5,is_a,106
6,has_attribute,150
6,has_attribute,169
6,has_attribute,170
6,is_a,107
7,has_attribute,150
7,has_attribute,169
7,has_attribute,170
7,is_a,107
8,has_attribute,141
8,has_attribute,145
8,has_attribute,165
8,has_attribute,161
8,has_attribute,159
8,is_a,118
9,has_attribute,174
9,has_attribute,178
9,has_attribute,175
9,is_a,103
10,has_attribute,174
10,has_attribute,178
10,has_attribute,175
10,is_a,103
11,has_attribute,168
11,has_attribute,170
11,is_a,114
12,has_attribute,180
12,has_attribute,165
12,is_a,109
13,has_attribute,141
13,has_attribute,144
13,has_attribute,161
13,has_attribute,158
13,has_attribute,160
13,has_attribute,159
13,has_attribute,162
13,has_attribute,165
13,is_a,118
14,has_attribute,150
14,has_attribute,169
14,has_attribute,170
14,is_a,107
15,has_attribute,139
15,has_attribute,149
15,has_attribute,169
15,has_attribute,170
15,is_a,111
16,has_attribute,174
16,has_attribute,178
16,has_attribute,175
16,is_a,103
17,has_attribute,180
17,is_a,109
18,has_attribute,150
18,has_attribute,169
18,has_attribute,170
18,is_a,107
19,has_attribute,139
19,has_attribute,149
19,has_attribute,169
19,has_attribute,170
19,is_a,111
20,has_attribute,179
20,has_attribute,178
20,is_a,106
21,has_attribute,139
21,has_attribute,149
21,has_attribute,169
21,has_attribute,170
21,is_a,112
22,has_attribute,177
22,has_attribute,178
22,is_a,105
23,has_attribute,180
23,is_a,110
24,has_attribute,150
24,has_attribute,169
24,has_attribute,170
24,is_a,107
25,has_attribute,179
25,has_attribute,178
25,is_a,106
26,has_attribute,154
26,has_attribute,169
26,is_a,113
27,has_attribute,153
27,has_attribute,169
27,has_attribute,170
27,is_a,115
28,has_attribute,174
28,has_attribute,178
28,has_attribute,175
28,is_a,103
29,has_attribute,153
29,has_attribute,169
29,has_attribute,170
29,is_a,115
30,has_attribute,139
30,has_attribute,140
30,has_attribute,146
30,has_attribute,172
30,has_attribute,169
30,is_a,100
31,has_attribute,139
31,has_attribute,149
31,has_attribute,169
31,has_attribute,170
31,is_a,111
32,has_attribute,152
32,has_attribute,153
32,has_attribute,140
32,has_attribute,172
32,has_attribute,169
32,is_a,101
33,has_attribute,180
33,has_attribute,171
33,is_a,110
34,has_attribute,139
34,has_attribute,149
34,has_attribute,169
34,has_attribute,170
34,is_a,112
35,has_attribute,168
35,has_attribute,170
35,is_a,114
36,has_attribute,139
36,has_attribute,149
36,has_attribute,169
36,has_attribute,170
36,is_a,116
37,has_attribute,180
37,is_a,109
38,has_attribute,139
38,has_attribute,149
38,has_attribute,169
38,has_attribute,170
38,is_a,112
39,has_attribute,177
39,has_attribute,178
39,is_a,105
40,has_attribute,177
40,has_attribute,178
40,is_a,105
41,has_attribute,159
41,has_attribute,162
41,has_attribute,165
41,is_a,119
42,has_attribute,139
42,has_attribute,149
42,has_attribute,166
42,has_attribute,169
42,has_attribute,167
42,has_attribute,170
42,is_a,108
43,has_attribute,139
43,has_attribute,149
43,has_attribute,166
43,has_attribute,169
43,has_attribute,167
43,has_attribute,170
43,is_a,108
44,has_attribute,153
44,has_attribute,169
44,has_attribute,170
44,is_a,115
45,has_attribute,154
45,has_attribute,169
45,is_a,113
46,has_attribute,168
46,has_attribute,170
46,is_a,114
47,has_attribute,147
47,has_attribute,156
47,has_attribute,155
47,has_attribute,171
47,is_a,117
48,has_attribute,141
48,has_attribute,159
48,has_attribute,162
48,has_attribute,165
48,is_a,118
49,has_attribute,180
49,is_a,110
50,has_attribute,139
50,has_attribute,149
50,has_attribute,169
50,has_attribute,170
50,is_a,116
51,has_attribute,175
51,has_attribute,176
51,has_attribute,168
51,is_a,104
52,has_attribute,147
52,has_attribute,156
52,has_attribute,155
52,has_attribute,171
52,is_a,117
53,has_attribute,175
53,has_attribute,176
53,has_attribute,168
53,is_a,104
54,has_attribute,148
54,has_attribute,142
54,has_attribute,168
54,is_a,102
55,has_attribute,139
55,has_attribute,140
55,has_attribute,146
55,has_attribute,172
55,has_attribute,169
55,is_a,100
56,has_attribute,147
56,has_attribute,156
56,has_attribute,155
56,is_a,117
57,has_attribute,175
57,has_attribute,176
57,has_attribute,168
57,is_a,104
58,has_attribute,141
58,has_attribute,159
58,has_attribute,160
58,has_attribute,161
58,has_attribute,162
58,has_attribute,165
58,is_a,118
59,has_attribute,147
59,has_attribute,143
59,has_attribute,157
59,has_attribute,156
59,has_attribute,155
59,has_attribute,171
59,is_a,117
60,has_attribute,180
60,is_a,110
61,has_attribute,174
61,has_attribute,178
61,has_attribute,175
61,is_a,103
62,has_attribute,148
62,has_attribute,142
62,has_attribute,168
62,is_a,102
63,has_attribute,139
63,has_attribute,149
63,has_attribute,169
63,has_attribute,170
63,is_a,116
64,has_attribute,139
64,has_attribute,149
64,has_attribute,169
64,has_attribute,170
64,is_a,112
65,has_attribute,139
65,has_attribute,149
65,has_attribute,169
65,has_attribute,170
65,is_a,116
66,has_attribute,139
66,has_attribute,149
66,has_attribute,169
66,has_attribute,170
66,is_a,112
67,has_attribute,152
67,has_attribute,153
67,has_attribute,140
67,has_attribute,172
67,has_attribute,169
67,is_a,101
68,has_attribute,180
68,has_attribute,165
68,is_a,109
69,has_attribute,164
69,has_attribute,159
69,has_attribute,162
69,is_a,119
70,has_attribute,148
70,has_attribute,142
70,has_attribute,168
70,is_a,102
71,has_attribute,180
71,has_attribute,140
71,is_a,110
72,has_attribute,139
72,has_attribute,140
72,has_attribute,146
72,has_attribute,172
72,has_attribute,169
72,is_a,100
73,has_attribute,152
73,has_attribute,153
73,has_attribute,140
73,has_attribute,172
73,has_attribute,169
73,is_a,101
74,has_attribute,139
74,has_attribute,149
74,has_attribute,169
74,has_attribute,170
74,is_a,116
75,has_attribute,139
75,has_attribute,149
75,has_attribute,169
75,has_attribute,170
75,is_a,112
